Time,CH B,
3.62181E+1,-5.29256E-1,
3.62681E+1,-4.57256E-1,
3.63182E+1,-5.29256E-1,
3.63682E+1,-4.57256E-1,
3.64182E+1,-5.29256E-1,
3.64682E+1,-4.57256E-1,
3.65183E+1,-5.29256E-1,
3.65683E+1,-4.57256E-1,
3.66183E+1,-5.29256E-1,
3.66683E+1,-4.57256E-1,
3.67184E+1,-5.29256E-1,
3.67684E+1,-4.65256E-1,
3.68184E+1,-5.37256E-1,
3.68684E+1,-4.65256E-1,
3.69185E+1,-5.37256E-1,
3.69685E+1,-4.65256E-1,
3.70185E+1,-5.37256E-1,
3.70685E+1,-4.65256E-1,
3.71186E+1,-5.37256E-1,
3.71686E+1,-4.73256E-1,
3.72186E+1,-5.37256E-1,
3.72686E+1,-4.73256E-1,
3.73187E+1,-5.45256E-1,
3.73687E+1,-4.73256E-1,
3.74187E+1,-5.37256E-1,
3.74687E+1,-4.81256E-1,
3.75188E+1,-5.53256E-1,
3.75688E+1,-4.81256E-1,
3.76188E+1,-5.53256E-1,
3.76688E+1,-4.81256E-1,
3.77189E+1,-5.69256E-1,
3.77689E+1,-4.81256E-1,
3.78189E+1,-6.09256E-1,
3.78689E+1,-4.89256E-1,
3.7919E+1,-5.69256E-1,
3.7969E+1,-4.89256E-1,
3.8019E+1,-5.69256E-1,
3.8069E+1,-4.97256E-1,
3.81191E+1,-6.09256E-1,
3.81691E+1,-4.97256E-1,
3.82191E+1,-5.85256E-1,
3.82691E+1,-5.05256E-1,
3.83192E+1,-5.69256E-1,
3.83692E+1,-5.05256E-1,
3.84192E+1,-5.85256E-1,
3.84692E+1,-5.05256E-1,
3.85193E+1,-5.77256E-1,
3.85693E+1,-5.13256E-1,
3.86193E+1,-5.85256E-1,
3.86693E+1,-5.13256E-1,
3.87194E+1,-5.85256E-1,
