[s],CH2[V]
-8.5250E-04,-9.222E-02
-8.5000E-04,-9.222E-02
-8.4750E-04,-9.222E-02
-8.4500E-04,-5.222E-02
-8.4250E-04,-9.222E-02
-8.4000E-04,-9.222E-02
-8.3750E-04,-9.222E-02
-8.3500E-04,-9.222E-02
-8.3250E-04,-5.222E-02
-8.3000E-04,-5.222E-02
-8.2750E-04,-9.222E-02
-8.2500E-04,-9.222E-02
-8.2250E-04,-5.222E-02
-8.2000E-04,-9.222E-02
-8.1750E-04,-9.222E-02
-8.1500E-04,-9.222E-02
-8.1250E-04,-9.222E-02
-8.1000E-04,-9.222E-02
-8.0750E-04,-9.222E-02
-8.0500E-04,-5.222E-02
-8.0250E-04,-5.222E-02
-8.0000E-04,-9.222E-02
